2.こどものころの衣服

話し手
（略号）　（氏名）　　（性）　（生年）
　Ａ　　　山室　二郎　　男　　明治31年生まれ〈司会役〉
　Ｂ　　　山室　富江　　女　　明治41年生まれ
　Ｃ　　　坂本　アイ　　女　　明治27年生まれ
　Ｄ　　　坂本　ヨシノ　女　　明治36年生まれ
〔Ｅ　　　佐藤　虎男　　男　　大正15年生まれ〈同席担当者〉〕


0418002|Ｅ|コノ　ヘンワ　ユキガ　フカインデショー　ネー。|この　へんは　雪が　深いんでしょう　ねえ。
0418003|Ｃ|エー。|ええ。
0418004|Ａ|エー。サンジャクグライワ　フリマシタ。|ええ。三尺ぐらいは　降りましたよ。
0418005|Ｅ|コトシモ。|今年も〔ですか〕。
0418006|Ａ|イヤ。アノー　マエニ。|いや。あのう　前にです。
0418007|Ｅ|マエニ。（Ａ　エー。）　ハー。|前に〔ですか〕。はあ。
0418008|Ｃ|ワタシノ　アニラーモ　アヤベエ　カヨタンデス　カ゜ナー。アヤベノ　ショーカ゜ッコーエ。ホンマ　カワイソー　デシタ。ウチノ　コノ　シタノ　ホーデスケード。カヨタ〈ンデス〉。|わたしの　兄たちも　綾部へ　通ったんです　がねえ。綾部の　小学校へ。ほんと　かわいそう　でした。うちの　この　下の　ほうですけれど。通ったんです。〔その雪の中を〕。
0418011|Ｂ|〈ウチノ　シタノ〉　シタデス。|うちの　下の　下ですのよ。
0418012|Ａ|ソエ、コートーショーカ゜ク　チューノアー　アヤベニシカ　ナカッタンデス。＊　ホエデー　ジンジョーショーカ゜ッコーワ　ココデ　オワッタンダ［9］ケードモ　アノー　コートーショーカ゜ク　チューノワ　モー　チョーソンガッペーノヨーナー　チョーソンリツ　【ガッ】　リツデ　アノー　モー　ゴカソンモ　ロッカソンモーデ［10］　コートーショーカ゜ク　〈チュー　モノオ　モッタ　モンデス〉。（Ｅ　〈｛ネー。ヤリマシタカラ　ネー｝〉。）　ホイデ　ソコエ　ミナ　カヨータンデス。|そう　高等小学　というのは　綾部にしか　なかったんです。＊　それで　尋常小学校は　ここで　終わったのだけれども　あのう、高等小学　というのは　もう　町村合併のような　町村立、立で　あのう、もう　五か村も　六か村もで　高等小学　という　ものを　持った　ものです。（Ｅ　ねえ。やりましたから　ねえ。）　それで　そこへ　みな　通ったんですよ。
0418106|Ｅ|ハーア。|はあ。
0418107|Ｂ|ホシテ　アノ　ワタシラーノ　ゴネンノ　トキ　カイナー。トメハンカ゜　【タ】　アノー　【ウン】　ウンドーカイニ　クル　フクオ　ナー。アノ　ドーヤ　イナー。アノー　スカ゜ワラノ　ミチダネ［11］ヤ　ナイ、ショートクタイシノヨーニ　アノー　コー　ココデ［12］ ククッテ　プアット　コーシテヨーナンオ　ナー。（Ｄ　フンー。）　トメハンカ゜。オボエトッテ　ナイ　カ。| そして　あの、わたしたちの　五年の　時　かねえ。とめさんが　あのう、運動会に　来る　服を　ねえ。あの、どうかしら　ねえ。あのう、菅原の　道真じゃ　ない　聖徳太子のような　あのう、こう　ここて　括って　ぷわっと　こうしたようなのを　ねえ。（Ｄ　ふんふん。）　とめさんが　おぼえて　いない？
0418113|Ｄ|オボエトラン　ナー。|おぼえてない　わねえ。
0418201|Ｂ|フクオ　ナー。（Ｄ　ウン。）　〈フク　ユータカッ…〉　（Ｄ　〈｛　　｝〉　ユー　ンカイ。）　ヘー。フク　ユータカッテ　ナー。（Ｄ　ヘン。）　アノー　【ジシ】　ジシツワ　ナー。テンジクモメンヤ。オボエトッテ　ナイ　ン。ウチラー　｛ヤハリ｝　イチバン　ハジメニ　コーテ　クレチャッタ　デ。ソノ　コンニャクノ　クツモー　イチバン　ハジメ　コートクレタシ　ミンナー　ケナリカ゜ッチャッタ　モン。|服を　ねえ。（Ｄ　うん。）　服と　言ったって　（Ｄ　いう　の？）　はい。服と　いったって　ねえ。（Ｄ　はあ。）　あのう、地質は　ねえ。天竺木綿です。おぼえておられ　ない　の。うちらは　やはり　いちばん　はじめに　買って　くれた　わよ。その　こんにゃくの　靴も　いちばん　はじめに　買ってくださったし　みんな　羨しがりなさった　もの。
0418207|Ｃ|ヨイ　ウチニ　｛イヤハン｝　ノ。ソレヤッタラ。|良家に　おいでなの　よ。それだったら。
0418208|Ｂ|エー。|ええ？
0418209|Ｃ|ヨイ　ウチジャ。|よい　お家なんだよ。
