２．うわさ話など

話し手
　Ａ　武田　ふさ　　女　明治32年　富山村生れ
　Ｂ　田辺　正一　　男　明治34年　富山村生れ
　Ｃ　堤　　ふじよ　女　明治39年　富山村生れ
〈Ｙ　山口　幸洋　　男　昭和11年　静岡県新居町生れ〉

0334202|Ａ|ボン　[15]オドリニ　コイッチュッテ　ミンナノ　セーネンノシューノ　アソコエ　ボンウタ　ウタウヨーニ　コイッチュッテ　アソコエワ　イッタ　ワ　オボエタカ゜ネー　フクシマヤエ　レコードイ　フキコンデ　クリョーテーネ　ソノトキニャー　イッタ　オボエタカ゜[16]　ヘー　ソコノ　ヤクバイワ　ワスレタ|盆　踊りに　来いって言って　みんなの　青年の衆の　あそこへ　盆唄　唄うように　来いって言って　あそこへは　行った　〔こと〕は　覚えているがね　福島屋〔家号〕へ　レコードに　吹きこんで　くれってね　その時には　行った〔ことを〕　覚えているが　もう　そこの　役場へ〔行ったこと〕は　忘れた
0334207|Ｃ|ナニ　ヤクバエ　イッテネー　フターリデヨー　イッテー　ソレー　ヒロニーントコエ　キタッツネ　ヒロニーントーモ　ナニカネー　イカダノトキノ　ハナシカ゜ネー　キテ　ソイデアノー　イカダノリウター　ウタッタリ　ナニョー　シテネー　ホイデ|何　役場へ　行ってね　二人でね　行って　それに　弘兄の所へ　来たっけ。弘兄達も　何かね　筏の時の　話がね。〔県の人が〕来て　それで　筏乘り唄を　唄ったり　何かを　してね　それで
0334211|Ａ|ドーモ　ヤークバイ　イッタワ　ワスレタ　アスコノ　フクシマヤノ　ニケーウェ　イッテ|どうも　役場へ　行ったことは　忘れた　あそこの　福島屋の　二階へ　行って
0334213|Ｃ|…　オバサンダッツカネー|おばさんだったかね
0334301|Ｂ|アー　ソーダソーダ|あゝ　そうだそうだ
0334302|Ｃ|ソレダケ　トシダワイネ|それだけ　年だよ
0334303|Ａ|ヘー　トシヨリダデ　ワスレタダカネー　ムカシノコトウォ　ワスレンカ゜　ヘー　ソレオ|もう　年寄りだから　忘れたのかね　〔私は〕昔の事を　〔ふつうなら〕忘れないけど　もう　それを
0334305|Ｃ|シャシンカ゜　アルワケダデ　オフササ　コンナ　アルデ　チャント|写真が　あるわけだから　おフサさん　こんなに　あるから　ちゃんと
0334306|Ａ|ホー　ソーカソーカ　ドーモ　ソノ　ヤクバウォ　ヘー　ナニョー　トッテ　クレネー　ヒトツ|ほう　そうかそうか　どうも　その　役場を　もう　何を〔お菓子を〕　取って　くださいよ　ひとつ
0334308|Ｃ|ハイ　イタダキマス|はい　いただきます
0334309|Ａ|ヤクバウォ　ワスレタワイネー|役場〔の事を〕　忘れたよ
0334310|Ｃ|ワスレター　ワスレタワイネ|忘れた！！忘れたんだね
0334311|Ａ|ヤクバ　オレ　フントワ　キズカイダデ　【イ　イ】　エッコロヨーカ゜　ナケニャー　イカンデネー　ヤクバノシューウォ　キズカイセテ　カナワン　ヤクバノシューワ|役場は　俺　本当は　固苦しいから　よほど用事が　なければ　行かないからね　役場の衆を　〔私は〕気遣いして　たまらない　役場の衆は
0334401|Ｃ|ヤクバノシューカネ|役場の衆かね
0334402|Ａ|キズケーナ|気遣いな
0334403|Ｃ|キズカイニモ　ナイワイ|気遣いでも　ないよ
0334404|Ａ|【キョ】　キョク|局
0334405|Ｃ|シタノン　シタノニネー　アノ　シュクチョクシツデ　ヤッタッタデ　ナニカ　キーテクレタッタデ|下のに　下のにね　あの　宿直室で　やったから　何か　聞いてくれたから
0334407|Ａ|キョクノホーカ゜　キズケーネーカ゜ネー　アリャ　カネコサンカ゜　シタニ　イタカケ゜ンダカ　キョクノ　ホーワ　キズクネーデ　エーカ゜ネー　ナニカ　コナイダ　コノコ゜ロ　【ナン】　ビラー　クレタデーネー　イラン　ヘ　ヨミエンダデ　ヨミエンデ　イランッチュッタラネー　オバー　ソンナバカナコトー　ユージャーネー　モッテケーッテ　イラン　ドーシテモ　シーテショーカ゜ネー　ヘ　モラッタケド　アリャー　アンナモノ　モラッタッテ　アリャー　チョキンウォ　ツミャー　リソクウォ　ヨコセル　ナンチューコトー　キクカ゜|局の方が　気遣いね　あれ　金子さんが　下に　いたためか　局の　方は　気遣いないで　良いけどね　何か　このあいだ　この頃　ビラを　くれたからね　いらない　もう　読めないから　読めないから　要らないって言ったでしょうね　お婆が　そんな馬鹿なことを　いうんじゃない　持って行けって〔いっても〕　要らない　どうしても　強いてしようがない　もう　貰ったけれど　あれは　あんなもの　貰ったって　あれは　貯金を　積めば　利息を　よこす　なんて言うことを　聞くが
0334502|Ｃ|ロージンノ　シューカ゜ネー　ロージンカ゜ーノ　シューカ゜　アノネー　アノ　オカネウォ　モラヤー　イマ　イチジネー　アノ　ツムト　アノ　【リシオ】　リシカ゜　オーキーチュッテ|老人の　衆がね　老人側の　衆が　あのね　あの　お金を　貰えば　今　一時ね　あの　積むと　あの　利子を　利子が　大きいと言って
